Date,total_cases_cum,total_death_cum,total_cases,total_death,travel_count
2020-04-18,464867,19272,18099.0,851.0,99344.0
2020-04-19,344568,15685,13150.0,672.0,92859.0
2020-04-20,389253,17528,14323.0,827.0,98968.0
2020-04-21,309950,14289,12296.0,725.0,111627.0
2020-04-22,395853,18362,16929.0,912.0,123464.0
2020-04-23,389823,18745,16797.0,986.0,114459.0
2020-04-24,431640,20204,17870.0,777.0,128875.0
2020-04-25,456735,21477,16209.0,707.0,119854.0
2020-04-26,571497,27341,18040.0,736.0,110913.0
2020-04-27,486074,22823,15307.0,651.0,119629.0
2020-04-28,482055,23113,14227.0,935.0,154695.0
2020-04-29,455204,22125,14834.0,749.0,171563.0
2020-04-30,490336,23982,17700.0,872.0,134261.0
2020-05-01,685817,31877,21514.0,972.0,170254.0
2020-05-02,598314,29006,18837.0,798.0,163692.0
2020-05-03,616380,29722,18066.0,716.0,130601.0
2020-05-04,760366,38228,17226.0,635.0,140409.0
2020-05-05,492316,24021,12644.0,734.0,190863.0
2020-05-06,576887,28654,15528.0,831.0,215444.0
2020-05-07,502720,24464,15167.0,664.0,169580.0
2020-05-08,779853,37021,19990.0,802.0,200815.0
2020-05-09,690987,34151,18209.0,783.0,215645.0
2020-05-10,788413,39957,16699.0,550.0,163205.0
2020-05-11,1061826,53981,17778.0,775.0,176667.0
2020-05-12,695807,35552,15460.0,745.0,234928.0
2020-05-13,834105,41050,14763.0,807.0,250467.0
2020-05-14,1007353,59866,25222.0,1011.0,193340.0
2020-05-15,1145089,66987,22169.0,1037.0,253807.0
2020-05-17,1320185,77708,17819.0,730.0,244176.0
2020-05-18,1409886,82910,21218.0,817.0,190477.0
2020-05-19,1298101,78412,18872.0,859.0,230367.0
2020-05-20,1222243,71987,18698.0,942.0,318449.0
2020-05-21,1371390,82737,20861.0,921.0,348673.0
2020-05-22,1357437,77842,23059.0,900.0,253190.0
2020-05-23,1555480,92439,19417.0,802.0,267451.0
2020-05-24,1683534,100290,21673.0,809.0,340769.0
2020-05-25,1644952,96452,18843.0,613.0,264843.0
2020-05-26,1719024,101789,16847.0,846.0,261170.0
2020-05-27,1454213,85999,17590.0,958.0,321776.0
2020-05-28,1708238,101801,22777.0,1112.0,327133.0
2020-05-29,1564453,88795,21682.0,858.0,268867.0
2020-05-30,1594991,89974,22891.0,734.0,352947.0
2020-05-31,1832139,106914,21310.0,683.0,353261.0
2020-06-01,1850283,107625,17241.0,711.0,267742.0
2020-06-02,1866338,108308,20740.0,930.0,304436.0
2020-06-03,1719885,97326,20447.0,907.0,391882.0
2020-06-04,1912768,110468,20658.0,893.0,419675.0
2020-06-05,1895454,109380,23370.0,794.0,353016.0
2020-06-06,1961185,112011,23704.0,707.0,441255.0
2020-06-07,1969603,112108,17687.0,580.0,430414.0
2020-06-08,1857840,106884,16647.0,590.0,338382.0
2020-06-09,2015587,114223,18575.0,844.0,386969.0
2020-06-10,2036861,115074,22244.0,868.0,502209.0
2020-06-11,2044600,115774,22753.0,877.0,519304.0
2020-06-12,2089232,116717,28391.0,745.0,437119.0
2020-06-13,1948457,104812,25957.0,584.0,544046.0
2020-06-14,2136158,117889,20515.0,505.0,534528.0
2020-06-15,2156832,118426,20674.0,537.0,417924.0
2020-06-16,2181612,119095,24780.0,688.0,441829.0
2020-06-17,2207477,119773,25865.0,683.0,576514.0
2020-06-18,2236123,120428,28646.0,655.0,587908.0
2020-06-19,2268177,121152,33317.0,742.0,507129.0
2020-06-20,2302673,121744,33323.0,573.0,590456.0
2020-06-21,2329919,122162,27246.0,418.0,607540.0
2020-06-22,2347878,122154,28728.0,427.0,471421.0
2020-06-23,2396578,123395,37882.0,737.0,494826.0
2020-06-24,2433815,124086,37237.0,691.0,623624.0
2020-06-25,2309935,111758,46691.0,667.0,632984.0
2020-06-26,2524126,127249,46520.0,697.0,546310.0
2020-06-27,2567533,127834,43407.0,585.0,633810.0
2020-06-28,2608538,128350,37550.0,440.0,625235.0
2020-06-29,2647230,128825,38692.0,475.0,500054.0
2020-06-30,2693889,129465,46659.0,647.0,626516.0
2020-07-01,2753208,130247,59319.0,782.0,764761.0
2020-07-02,2808791,130951,55583.0,704.0,718988.0
2020-07-03,2858459,131561,59918.0,789.0,466669.0
2020-07-04,2907615,132133,49156.0,573.0,732123.0
2020-07-05,2958817,132761,40053.0,455.0,755555.0
2020-07-06,3009933,133388,51116.0,638.0,641761.0
2020-07-07,2961032,132384,52567.0,807.0,632498.0
2020-07-08,2954188,119957,64882.0,947.0,709653.0
2020-07-09,3193549,136353,62282.0,956.0,711124.0
2020-07-10,3262022,137305,68473.0,952.0,656284.0
2020-07-11,3329660,138192,67638.0,887.0,754545.0
2020-07-12,3389436,139027,59776.0,848.0,697985.0
2020-07-13,3384053,138076,53678.0,771.0,540268.0
2020-07-14,3508662,140665,64895.0,923.0,589285.0
2020-07-15,3580973,141781,72179.0,1124.0,706164.0
2020-07-16,3650762,142872,69858.0,1080.0,720378.0
2020-07-17,3729882,143988,77094.0,1092.0,646654.0
2020-07-18,3655921,142253,64562.0,860.0,747422.0
2020-07-19,3765589,142372,56964.0,898.0,695330.0
2020-07-20,3797696,142916,54072.0,843.0,530421.0
2020-07-21,3828592,145037,60081.0,1050.0,570951.0
2020-07-22,4051662,149168,72415.0,1224.0,704815.0
2020-07-23,4125736,150437,73738.0,1262.0,724770.0
2020-07-24,4184783,151197,73330.0,1289.0,649027.0
2020-07-25,4100519,149631,57722.0,1000.0,751205.0
2020-07-26,4211511,150105,54639.0,903.0,700043.0
2020-07-27,4372691,154821,53606.0,954.0,536756.0
2020-07-28,4428832,155971,59036.0,1182.0,573200.0
2020-07-29,4496656,157173,64850.0,1195.0,718310.0
2020-07-30,4392611,154968,64278.0,1249.0,767320.0
2020-07-31,4632178,159983,68718.0,1389.0,709033.0
2020-08-01,4688712,161108,56534.0,1125.0,799861.0
2020-08-02,4620437,158018,48005.0,859.0,737235.0
2020-08-03,4755853,162556,45172.0,870.0,543601.0
2020-08-04,4713087,159953,48276.0,1062.0,595739.0
2020-08-05,4893149,165261,56082.0,1280.0,743599.0
2020-08-06,4948464,166474,54814.0,1204.0,762547.0
2020-08-07,5007718,167765,62212.0,1318.0,683212.0
2020-08-08,5062358,168836,51640.0,1043.0,831789.0
2020-08-09,5108947,169732,46589.0,896.0,761861.0
2020-08-10,5121476,170168,43175.0,816.0,559420.0
2020-08-11,5208553,171614,58965.0,1096.0,590749.0
2020-08-12,5073642,168608,54104.0,1194.0,761821.0
2020-08-13,5315720,174156,52016.0,1201.0,783744.0
2020-08-14,5337715,174812,54698.0,1055.0,689895.0
2020-08-15,5427389,176202,52110.0,942.0,862949.0
2020-08-16,5330882,172581,40732.0,815.0,773319.0
2020-08-17,5468439,177260,40810.0,647.0,565946.0
2020-08-18,5549528,178654,41669.0,941.0,586718.0
2020-08-19,5600026,179970,47081.0,1280.0,772380.0
2020-08-20,5645212,180950,46613.0,994.0,764468.0
2020-08-21,5690218,181943,47707.0,1022.0,625822.0
2020-08-22,5736434,182988,41760.0,998.0,841806.0
2020-08-23,5771682,183815,36947.0,843.0,726788.0
2020-08-24,5769400,184001,34574.0,605.0,523186.0
2020-08-25,5849550,185322,40765.0,888.0,540043.0
2020-08-26,5856700,185966,45505.0,1102.0,721060.0
2020-08-27,5871228,186108,43145.0,935.0,738873.0
2020-08-28,5948513,187931,45859.0,1030.0,591734.0
2020-08-29,6033015,189218,41049.0,820.0,807695.0
2020-08-30,6068331,189935,36603.0,727.0,711178.0
2020-08-31,6055125,189986,37419.0,572.0,516068.0
2020-09-01,6135193,191272,38712.0,849.0,578131.0
2020-09-02,6146594,191790,42633.0,862.0,877698.0
2020-09-03,6234767,193184,45377.0,951.0,968673.0
2020-09-04,6238029,193605,49991.0,904.0,664640.0
2020-09-05,6329377,194914,41687.0,788.0,689630.0
2020-09-06,6364272,195625,33714.0,694.0,935308.0
2020-09-07,6341246,195542,23384.0,417.0,704075.0
2020-09-08,6416273,196602,28541.0,571.0,616923.0
2020-09-09,6414500,197019,34812.0,824.0,755051.0
2020-09-10,6490300,198284,38852.0,844.0,731353.0
2020-09-11,6535327,199168,44365.0,879.0,613703.0
2020-09-12,6576812,199838,40274.0,652.0,809850.0
2020-09-13,6302183,194140,31527.0,589.0,729558.0
2020-09-14,6143732,191240,30715.0,419.0,522383.0
2020-09-15,6660050,201220,36782.0,750.0,577847.0
2020-09-16,6601361,201147,42918.0,899.0,784746.0
2020-09-17,6736763,203281,44272.0,720.0,812214.0
2020-09-18,6738875,203568,46256.0,793.0,638575.0
2020-09-19,6862557,205134,42499.0,674.0,847968.0
2020-09-20,6896776,205603,34281.0,471.0,769936.0
2020-09-21,6882476,205550,39991.0,572.0,549741.0
2020-09-22,6986437,206807,50002.0,657.0,608726.0
2020-09-23,6949204,206831,40723.0,877.0,826316.0
2020-09-24,7055523,208241,45924.0,740.0,826329.0
2020-09-25,7050925,208409,48342.0,750.0,659350.0
2020-09-26,7170781,209940,42884.0,672.0,873038.0
2020-09-27,7206042,210442,35261.0,502.0,797699.0
2020-09-28,7182902,210161,37055.0,409.0,568688.0
2020-09-29,7074478,195372,38392.0,614.0,634046.0
2020-09-30,7035208,195253,43648.0,811.0,855908.0
2020-10-01,7277004,212015,45420.0,713.0,857186.0
2020-10-02,7365143,213273,49752.0,892.0,677661.0
2020-10-03,7452993,214318,47571.0,534.0,900911.0
2020-10-04,7499774,215016,35563.0,592.0,816838.0
2020-10-05,7464453,214660,39455.0,514.0,590766.0
2020-10-06,7568558,215983,41398.0,617.0,668519.0
2020-10-07,7532441,215797,51467.0,768.0,936915.0
2020-10-08,7643745,217175,54251.0,708.0,968545.0
2020-10-09,7627919,217091,54722.0,724.0,769868.0
2020-10-10,7764275,218723,52635.0,666.0,984234.0
2020-10-11,7832530,219581,43979.0,577.0,958440.0
2020-10-12,7818222,219307,47502.0,488.0,680894.0
2020-10-13,7894640,220293,48557.0,624.0,717940.0
2020-10-14,7876909,220172,55015.0,745.0,950024.0
2020-10-15,7998147,221628,60495.0,712.0,973046.0
2020-10-16,7789464,219824,60799.0,821.0,788743.0
2020-10-17,8145721,223485,53228.0,678.0,1031505.0
2020-10-18,8068987,221925,44436.0,660.0,921031.0
2020-10-19,8027827,222604,50666.0,572.0,662484.0
2020-10-20,8110691,223839,53043.0,743.0,694150.0
2020-10-21,7872214,219692,59925.0,875.0,934386.0
2020-10-22,8122377,221144,65484.0,860.0,958437.0
2020-10-23,8195133,225152,73117.0,855.0,755287.0
2020-10-24,8404371,227466,70077.0,748.0,983745.0
2020-10-25,8656511,229691,63667.0,588.0,898735.0
2020-10-26,8619492,225210,64059.0,664.0,648517.0
2020-10-27,8485565,228431,66503.0,788.0,666957.0
2020-10-28,8364324,226794,70659.0,923.0,873636.0
2020-10-29,8507993,228606,78234.0,958.0,892712.0
2020-10-30,8077494,217787,71662.0,743.0,618476.0
2020-10-31,8272177,220390,71710.0,779.0,936092.0
2020-11-01,7787485,204692,58348.0,540.0,846138.0
2020-11-02,9056516,227851,73621.0,667.0,575829.0
2020-11-03,8900974,230805,83175.0,898.0,636533.0
2020-11-04,8307797,218705,84039.0,1016.0,867105.0
2020-11-05,8234543,217751,83571.0,921.0,895091.0
2020-11-06,7717524,208328,74393.0,802.0,689951.0
2020-11-07,8075349,213500,78222.0,738.0,973020.0
2020-11-08,8717917,221046,79160.0,724.0,836600.0
2020-11-09,7666628,200155,58229.0,630.0,596475.0
2020-11-10,7439720,195551,78175.0,694.0,674633.0
2020-11-11,7764028,203313,82810.0,896.0,866679.0
2020-11-12,7635656,197934,82401.0,868.0,881579.0
2020-11-13,7696907,195034,91487.0,743.0,697360.0
2020-11-14,8292118,212743,97395.0,845.0,978297.0
2020-11-15,8949498,220450,91808.0,768.0,883157.0
2020-11-16,8076925,201705,76757.0,708.0,611497.0
2020-11-17,8262477,208404,96505.0,857.0,703135.0
2020-11-18,8182242,202954,94802.0,1065.0,907332.0
2020-11-19,8453884,207006,108334.0,1094.0,1019836.0
2020-11-20,7958607,195546,98030.0,1085.0,984369.0
2020-11-21,9013483,216936,110899.0,1059.0,1047934.0
2020-11-22,9685993,223235,104185.0,886.0,917354.0
2020-11-23,8619971,202927,76428.0,828.0,912090.0
2020-11-24,8256996,197942,94875.0,884.0,1070967.0
2020-11-25,8524582,204742,110416.0,1219.0,560902.0
2020-11-26,9647529,225232,91962.0,1005.0,820399.0
2020-11-27,9354398,206629,92771.0,939.0,964630.0
2020-11-28,10016135,228954,92160.0,996.0,1176091.0
2020-11-29,11005566,241452,107440.0,1049.0,981912.0
2020-11-30,10185164,222193,93969.0,904.0,780283.0
2020-12-01,8283826,185958,96309.0,1037.0,632356.0
2020-12-02,7156806,168447,92258.0,1061.0,738050.0
2020-12-03,8301261,184906,105647.0,1163.0,753951.0
2020-12-04,6594934,159267,84173.0,995.0,629430.0
2020-12-05,6872225,162969,70783.0,814.0,837137.0
2020-12-06,10490790,222240,108835.0,1075.0,703546.0
2020-12-07,8794764,195184,82817.0,1027.0,501513.0
2020-12-08,6764951,159991,77782.0,831.0,564372.0
2020-12-09,5444930,122508,62605.0,849.0,754307.0
2020-12-10,6932319,156159,72015.0,923.0,787489.0
2020-12-11,6267627,144993,70534.0,881.0,662380.0
2020-12-12,7656447,173470,76306.0,912.0,865014.0
2020-12-13,9870283,206499,87294.0,1016.0,752451.0
2020-12-14,10698047,218220,96947.0,1223.0,552024.0
2020-12-15,7702451,158658,76715.0,992.0,641966.0
2020-12-16,6028848,129867,69179.0,854.0,846934.0
2020-12-17,5889396,136213,66051.0,884.0,1066747.0
2020-12-18,6526857,141868,70870.0,895.0,1073563.0
2020-12-19,8500710,182936,70720.0,858.0,1064619.0
2020-12-20,12614662,251361,100235.0,1369.0,954782.0
2020-12-21,13252532,259866,103086.0,1447.0,992167.0
2020-12-22,6767108,137523,56506.0,802.0,1191123.0
2020-12-23,5053871,116163,51340.0,692.0,846520.0
2020-12-24,7454971,160161,64843.0,872.0,616469.0
2020-12-25,13243533,260524,71231.0,1270.0,1128773.0
2020-12-26,13858431,273707,82101.0,1175.0,1284599.0
2020-12-27,15886824,298649,88443.0,1509.0,1111751.0
2020-12-28,13348091,256981,95778.0,1387.0,1019347.0
2020-12-29,7551418,155576,60947.0,1003.0,1163696.0
2020-12-30,3391481,54429,27886.0,456.0,874406.0
2020-12-31,4489732,88274,42581.0,646.0,805990.0
2021-01-01,8728309,154826,45942.0,796.0,1192881.0
2021-01-02,9097897,181350,54427.0,814.0,1327289.0
2021-01-03,13752854,265349,94309.0,1242.0,1080346.0
2021-01-04,16198729,278183,121681.0,1308.0,766594.0
2021-01-05,4539334,98853,35045.0,464.0,665855.0
2021-01-06,1661605,28603,10158.0,124.0,771734.0
2021-01-07,2545008,41198,14869.0,229.0,772471.0
2021-01-08,4238731,70221,36777.0,464.0,709444.0
2021-01-09,7509733,124003,45383.0,579.0,886536.0
2021-01-10,12285182,214074,84553.0,1097.0,708177.0
2021-01-11,13710980,261530,91985.0,1328.0,520117.0
2021-01-12,8049627,144841,55421.0,901.0,567401.0
2021-01-13,8406909,136928,58578.0,925.0,803688.0
2021-01-14,6012083,99284,34658.0,526.0,903039.0
2021-01-15,7843680,125866,53534.0,729.0,690438.0
2021-01-16,9310284,161894,51438.0,834.0,810654.0
2021-01-17,16177708,301991,90061.0,1347.0,878048.0
2021-01-18,17888851,325420,89754.0,1496.0,560190.0
2021-01-19,15604062,287204,80782.0,1450.0,542338.0
2021-01-20,9565693,161629,59295.0,929.0,728978.0
2021-01-21,8462002,144436,51254.0,864.0,755028.0
2021-01-22,8121029,127692,47341.0,806.0,603527.0
2021-01-23,14598856,245860,82292.0,1202.0,838116.0
2021-01-24,17979915,314520,80285.0,1315.0,701709.0
2021-01-25,19430843,353536,83469.0,1425.0,468933.0
2021-01-26,13520690,223501,60107.0,1041.0,536935.0
2021-01-27,13642542,228419,77313.0,1385.0,750558.0
2021-01-28,14882913,257097,83505.0,1406.0,774688.0
2021-01-29,16117363,300333,102696.0,1601.0,617489.0
2021-01-30,19750683,358966,96931.0,1564.0,859039.0
2021-01-31,21473713,394537,85699.0,1276.0,628989.0
2021-02-01,18411795,342817,68967.0,1209.0,493338.0
2021-02-02,18081430,324809,66329.0,1355.0,618615.0
2021-02-03,17426154,323661,74535.0,1619.0,778065.0
2021-02-04,17975633,331232,81766.0,1574.0,868624.0
2021-02-05,20131181,361745,89187.0,1851.0,705951.0
2021-02-06,20864639,373288,82549.0,1578.0,854636.0
2021-02-07,23689529,434956,76919.0,1372.0,864783.0
2021-02-08,26034692,461863,73341.0,1457.0,617619.0
2021-02-09,23949603,430956,80538.0,1763.0,735009.0
2021-02-10,21724405,393626,81213.0,1827.0,1034514.0
2021-02-11,20556615,389259,80128.0,1474.0,1151420.0
2021-02-12,20555444,388678,75332.0,1488.0,900696.0
2021-02-13,22114996,414141,69651.0,1437.0,946458.0
2021-02-14,23753784,444254,54467.0,998.0,967693.0
2021-02-15,27155919,488255,54130.0,1291.0,738825.0
2021-02-16,26220266,477422,53504.0,1130.0,773422.0
2021-02-17,25394628,445491,53568.0,1671.0,914823.0
2021-02-18,23441276,440145,61296.0,1571.0,1059452.0
2021-02-19,21360328,411486,55925.0,1409.0,942238.0
2021-02-20,23785739,450457,56465.0,1212.0,1115479.0
2021-02-21,24091863,455591,47805.0,998.0,963280.0
2021-02-22,26587855,486182,51097.0,1229.0,714725.0
2021-02-23,25556164,460557,63277.0,1245.0,802230.0
2021-02-24,26375174,477065,65642.0,1592.0,1051149.0
2021-02-25,22708237,436331,63019.0,1330.0,1096348.0
2021-02-26,24317123,461075,66188.0,1264.0,917282.0
2021-02-27,24094781,461623,60542.0,1037.0,1190682.0
2021-02-28,27624422,509655,47667.0,1025.0,1049692.0
2021-03-01,27747020,509231,47265.0,1069.0,744812.0
2021-03-02,26625185,493220,50438.0,1078.0,826924.0
2021-03-03,27396840,496913,60995.0,1317.0,1107534.0
2021-03-04,24810672,469654,61043.0,1098.0,1168734.0
2021-03-05,23608826,449904,55971.0,1010.0,992406.0
2021-03-06,28248726,522597,56261.0,1184.0,1278557.0
2021-03-07,28380667,524887,42643.0,826.0,1119303.0
2021-03-08,28089271,517154,39652.0,677.0,825745.0
2021-03-09,27535760,511269,50227.0,841.0,974221.0
2021-03-10,24151779,449590,50416.0,944.0,1286894.0
2021-03-11,28809828,537440,59550.0,1302.0,1409771.0
2021-03-12,27831753,515536,61611.0,1095.0,1227484.0
2021-03-13,29303340,541881,52403.0,976.0,1345284.0
2021-03-14,28836065,531613,43218.0,657.0,1267345.0
2021-03-15,29101584,535456,41213.0,676.0,1092548.0
2021-03-16,29391311,543414,51952.0,861.0,1146539.0
2021-03-17,29508380,545165,61717.0,1058.0,1413141.0
2021-03-18,28969072,535913,61242.0,930.0,1477841.0
2021-03-19,28499193,526244,60440.0,923.0,1373259.0
2021-03-20,29692017,547913,58396.0,722.0,1543136.0
2021-03-21,29737414,548462,45397.0,549.0,1360290.0
2021-03-22,25938976,485019,43531.0,510.0,1076453.0
2021-03-23,29577057,547287,57615.0,737.0,1164954.0
2021-03-24,29608542,546374,67621.0,1092.0,1444744.0
2021-03-25,29769471,550094,65670.0,973.0,1535156.0
2021-03-26,29044635,534800,72490.0,919.0,1408198.0
2021-03-27,30114083,554160,63423.0,855.0,1574228.0
2021-03-28,30170446,554803,53456.0,617.0,1406234.0
2021-03-29,29135239,530252,47769.0,504.0,1130520.0
2021-03-30,29498640,538815,54962.0,680.0,1278113.0
2021-03-31,29364643,536358,63561.0,878.0,1562239.0
2021-04-01,29622508,540388,67627.0,788.0,1580785.0
2021-04-02,30402124,557246,70922.0,828.0,1397958.0
2021-04-03,30218014,553622,63421.0,676.0,1543474.0
2021-04-04,30229229,557771,45338.0,461.0,1561959.0
